Episode,ep_step,ep_rewards
0,551,340.0
1,533,330.0
2,449,150.0
3,467,230.0
4,767,410.0
5,469,230.0
6,519,220.0
7,563,300.0
8,483,290.0
9,565,270.0
10,505,150.0
11,607,290.0
12,373,90.0
13,485,220.0
14,579,320.0
15,511,220.0
16,597,270.0
17,525,260.0
18,413,150.0
19,697,320.0
20,493,180.0
21,527,240.0
22,501,310.0
23,515,250.0
24,453,220.0
25,419,190.0
26,533,270.0
27,463,250.0
28,493,250.0
29,477,180.0
30,433,160.0
31,449,200.0
32,401,180.0
33,461,320.0
34,413,160.0
35,481,240.0
36,505,200.0
37,415,220.0
38,557,320.0
39,357,210.0
40,493,220.0
41,457,260.0
42,575,330.0
43,373,140.0
44,507,280.0
45,433,290.0
46,471,270.0
47,475,260.0
48,463,300.0
49,369,190.0
50,575,310.0
51,477,180.0
52,439,190.0
53,447,170.0
54,387,170.0
55,455,160.0
56,499,190.0
57,521,220.0
58,497,310.0
59,573,400.0
60,541,220.0
61,601,240.0
62,613,460.0
63,521,320.0
64,443,250.0
65,501,330.0
66,551,300.0
67,425,260.0
68,317,100.0
69,453,180.0
70,941,460.0
71,537,240.0
72,531,230.0
73,625,650.0
74,545,230.0
75,679,970.0
76,547,420.0
77,493,280.0
78,391,170.0
79,445,200.0
80,459,250.0
81,435,210.0
82,687,470.0
83,463,250.0
84,525,260.0
85,485,140.0
86,429,260.0
87,805,580.0
88,409,250.0
89,447,210.0
90,447,230.0
91,537,320.0
92,423,290.0
93,385,260.0
94,715,340.0
95,485,200.0
96,377,140.0
97,467,200.0
98,513,430.0
99,503,250.0
