Episode,ep_step,ep_rewards
0,459,150.0
1,413,160.0
2,479,280.0
3,485,270.0
4,435,180.0
5,745,620.0
6,495,310.0
7,541,280.0
8,491,230.0
9,481,270.0
10,495,200.0
11,797,530.0
12,385,180.0
13,623,300.0
14,533,410.0
15,503,300.0
16,375,120.0
17,473,290.0
18,813,600.0
19,541,260.0
20,459,200.0
21,409,190.0
